Wins,Losses,Ways,Average Score
0,40,1,3.3219280948873626
1,39,40,3.2426799698513045
2,38,780,3.163431844815247
3,37,9880,3.0841837197791895
4,36,91390,3.0049355947431313
5,35,658008,2.9256874697070736
6,34,3838380,2.846439344671016
7,33,18643560,2.767191219634958
8,32,76904685,2.6879430945989
9,31,273438880,2.608694969562842
10,30,847660528,2.5294468445267846
11,29,2311801440,2.4501987194907264
12,28,5586853480,2.3709505944546687
13,27,12033222880,2.291702469418611
14,26,23206929840,2.2124543443825533
15,25,40225345056,2.133206219346495
16,24,62852101650,2.0539580943104374
17,23,88732378800,1.97470996927438
18,22,113380261800,1.8954618442383218
19,21,131282408400,1.816213719202264
20,20,137846528820,1.7369655941662063
21,19,131282408400,1.6577174691301484
22,18,113380261800,1.5784693440940907
23,17,88732378800,1.499221219058033
24,16,62852101650,1.419973094021975
25,15,40225345056,1.3407249689859173
26,14,23206929840,1.2614768439498594
27,13,12033222880,1.1822287189138017
28,12,5586853480,1.102980593877744
29,11,2311801440,1.0237324688416858
30,10,847660528,0.9444843438056282
31,9,273438880,0.8652362187695702
32,8,76904685,0.7859880937335125
33,7,18643560,0.7067399686974547
34,6,3838380,0.627491843661397
35,5,658008,0.548243718625339
36,4,91390,0.4689955935892812
37,3,9880,0.38974746855322345
38,2,780,0.3104993435171656
39,1,40,0.2312512184811078
40,0,1,0.15200309344504997
